country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Suriname,SUR,12-11-2021,463705,253654,210051,1485,1083,78.36,42.86,35.49,1830,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,12-11-2021,14898408,7276486,6964838,59012,102082,146.64,71.62,68.55,10047,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,12-11-2021,11310363,5783396,5622008,21802,14478,129.77,66.36,64.51,1661,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH
Syria,SYR,12-11-2021,,,,,14404,,,,788,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Taiwan,TWN,12-11-2021,27479599,17808765,9670834,269334,199907,115.19,74.65,40.54,8380,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Thailand,THA,12-11-2021,83320621,44809613,35800674,788090,666357,119.11,64.06,51.18,9526,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/vaccine-covid19/getFiles/9/1637119591756.pdf
Togo,TGO,12-11-2021,1453570,971322,482248,,5809,17.14,11.46,5.69,685,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Tonga,TON,12-11-2021,,,,,776,,,,7269,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Trinidad and Tobago,TTO,12-11-2021,1255986,630965,625021,2636,2757,89.5,44.96,44.54,1965,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Tunisia,TUN,12-11-2021,9791690,5802387,4745923,30773,36496,82.04,48.61,39.76,3058,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/259870602850076
Turkey,TUR,12-11-2021,118219170,55793328,49554129,189268,142250,139.01,65.61,58.27,1673,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Uganda,UGA,12-11-2021,,,,,83732,,,,1777,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Ukraine,UKR,12-11-2021,20708263,12121802,8607141,299854,225774,47.64,27.89,19.8,5194,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua
United Arab Emirates,ARE,12-11-2021,21477305,9781743,8812470,42818,28896,214.96,97.9,88.2,2892,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,12-11-2021,108693992,50526039,45986536,414160,430072,159.36,74.08,67.42,6305,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
United States,USA,12-11-2021,442106031,227149368,193835988,1570463,1192270,131.45,67.54,57.63,3545,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends
Uruguay,URY,12-11-2021,6694491,2771751,2634358,11829,5569,192.09,79.53,75.59,1598,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
Uzbekistan,UZB,12-11-2021,29136572,15199786,,315089,264230,85.86,44.79,,7786,"Moderna, Oxford/AstraZeneca, Sputnik V, ZF2001",Government of Uzbekistan,https://coronavirus.uz/uz/lists
Vanuatu,VUT,12-11-2021,,,,,1256,,,,3994,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Vietnam,VNM,12-11-2021,97831758,64073710,33758048,1274306,1408786,99.66,65.27,34.39,14351,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Vietnam,https://www.moh.gov.vn:443/web/guest/tin-tong-hop/-/asset_publisher/k206Q9qkZOqn/content/ngay-16-11-co-9-650-ca-mac-covid-19-tai-59-tinh-thanh-tang-hon-1-000-ca-so-voi-hom-qua
Wales,OWID_WLS,12-11-2021,5346224,2456337,2252067,18352,16469,168.65,77.49,71.04,5195,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Wallis and Futuna,WLF,12-11-2021,,,,,19,,,,1713,Moderna,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Yemen,YEM,12-11-2021,,,,,15349,,,,503,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/
Zambia,ZMB,12-11-2021,,,,,5176,,,,274,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Government of Zambia,https://rtc-planning.maps.arcgis.com/apps/dashboards/3b3a01c1d8444932ba075fb44b119b63
Zimbabwe,ZWE,12-11-2021,6130358,3443813,2686545,28680,20000,40.62,22.82,17.8,1325,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.arcgis.com/home/webmap/viewer.html?url=https://services9.arcgis.com/DnERH4rcjw7NU6lv/ArcGIS/rest/services/Vaccine_Distribution_Program/FeatureServer&source=sd
Afghanistan,AFG,13-11-2021,,,,,36635,,,,920,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Albania,ALB,13-11-2021,,,,,6972,,,,2427,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-2000104-vaksinime/
Algeria,DZA,13-11-2021,11376816,6446373,4930443,,10805,25.5,14.45,11.05,242,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Argentina,ARG,13-11-2021,62795101,35716404,27201986,196749,215134,137.69,78.32,59.65,4717,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Aruba,ABW,13-11-2021,,,,,79,,,,737,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,13-11-2021,37634423,19541933,17835028,90364,133907,145.94,75.78,69.16,5193,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,13-11-2021,12230317,6108008,5738073,62516,65312,135.25,67.54,63.45,7222,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline.csv
Azerbaijan,AZE,13-11-2021,10062192,5018158,4473436,40504,30611,98.42,49.09,43.76,2994,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
Bahrain,BHR,13-11-2021,2822857,1183392,1147983,2591,3858,161.46,67.69,65.66,2207,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,13-11-2021,83837945,51299236,32538709,,1423156,50.41,30.85,19.57,8558,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,13-11-2021,283918,151634,132284,354,565,98.68,52.7,45.98,1964,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/photo?fbid=257008643132011&set=a.248616513971224
Belgium,BEL,13-11-2021,16980700,8768750,8624266,5831,5085,145.98,75.38,74.14,437,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Brazil,BRA,13-11-2021,,,,,2463142,,,,11510,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19_Vacina_V2/DEMAS_C19_Vacina_v2.html
Brunei,BRN,13-11-2021,673578,378120,295458,5327,5731,152.55,85.64,66.92,12980,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=1100&Source=http%3A%2F%2Fwww%2Emoh%2Egov%2Ebn%2FLists%2FLatest%2520news%2FAllItems%2Easpx&ContentTypeId=0x0104009A3003A09F8D6E42981D262E322516A2
Bulgaria,BGR,13-11-2021,3065144,,1620045,7707,14905,44.44,,23.49,2161,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,13-11-2021,28230176,14051925,13202848,19238,32260,166.58,82.92,77.91,1904,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/photos/a.930887636950343/4587195707986166/
Canada,CAN,13-11-2021,59512507,30042348,28653150,32935,64108,156.33,78.92,75.27,1684,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Chile,CHL,13-11-2021,39129968,16704163,15732264,32323,148993,203.67,86.94,81.89,7755,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",https://github.com/MinCiencia/Datos-COVID19
China,CHN,13-11-2021,2382133000,,,9420000,8575857,164.94,,,5938,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202111/806a0ebc9df947b7b2ec43a45d88b8c1.shtml
Colombia,COL,13-11-2021,,,,,349340,,,,6814,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Comoros,COM,13-11-2021,,,,,2158,,,,2429,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Costa Rica,CRI,13-11-2021,,,,,21323,,,,4149,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Cote d'Ivoire,CIV,13-11-2021,,,,,30821,,,,1139,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Croatia,HRV,13-11-2021,3845713,2043475,1857649,28323,22224,94.22,50.06,45.51,5445,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,13-11-2021,27284188,10084965,8543079,244604,127854,241.08,89.11,75.49,11297,"Abdala, Soberana02",Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,13-11-2021,195709,101959,93750,,181,118.76,61.87,56.89,1098,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Cyprus,CYP,13-11-2021,1241339,610308,575402,,2201,138.54,68.11,64.22,2456,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,13-11-2021,12779204,6415221,6186723,12797,36749,119.16,59.82,57.69,3427,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,13-11-2021,,4516012,4428591,,4829,,77.68,76.18,831,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Dominican Republic,DOM,13-11-2021,13565998,6818418,5465964,9209,21094,123.85,62.25,49.9,1926,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
El Salvador,SLV,13-11-2021,,,,,22958,,,,3522,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,13-11-2021,91607822,42430212,38578159,464854,372041,161.99,75.03,68.22,6579,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Equatorial Guinea,GNQ,13-11-2021,,,,,442,,,,305,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
Estonia,EST,13-11-2021,1459104,815748,774641,781,1562,110.11,61.56,58.46,1179,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Ethiopia,ETH,13-11-2021,5066269,3672765,1393504,2218,5906,4.3,3.12,1.18,50,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1460670087279558658
Fiji,FJI,13-11-2021,,,,,1529,,,,1693,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Finland,FIN,13-11-2021,,,,,7620,,,,1373,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,13-11-2021,101204131,51534367,46400933,132195,157551,149.79,76.27,68.68,2332,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
French Polynesia,PYF,13-11-2021,,,,,592,,,,2095,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Gabon,GAB,13-11-2021,,,,,2173,,,,954,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Gambia,GMB,13-11-2021,,,,,48,,,,19,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Georgia,GEO,13-11-2021,2046362,1080219,966143,5153,6057,51.42,27.14,24.28,1522,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,13-11-2021,114946494,58258593,56170099,95133,249427,137,69.44,66.95,2973,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,13-11-2021,93018,40764,39814,269,236,276.09,120.99,118.17,7005,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1460586396742262785
Greece,GRC,13-11-2021,13209474,6797021,6464346,52816,44162,127.37,65.54,62.33,4258,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Guatemala,GTM,13-11-2021,9152370,5558781,3593589,28162,48897,50.15,30.46,19.69,2679,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,13-11-2021,,,,,34,,,,536,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea-Bissau,GNB,13-11-2021,,,,,11519,,,,5715,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Guyana,GUY,13-11-2021,,,,,2028,,,,2566,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2732105440426318/
Hong Kong,HKG,13-11-2021,9179894,4670058,4472814,20862,12710,121.54,61.83,59.22,1683,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,13-11-2021,,,,,35413,,,,3676,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-8-ezer-beoltott-10-265-az-uj-fertozott-elhunyt-178-beteg
Iceland,ISL,13-11-2021,,,,,1184,,,,3448,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,13-11-2021,1119180353,751481608,367698745,7757037,5571839,80.32,53.93,26.39,3999,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,13-11-2021,213128276,129710190,83418086,1220396,1551148,77.12,46.93,30.18,5613,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
Iran,IRN,13-11-2021,98181400,55576533,42183468,,672336,115.47,65.36,49.61,7907,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V",World Health Organization,https://www.isna.ir/news/1400082216920
Iraq,IRQ,13-11-2021,,,,,87477,,,,2124,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Ireland,IRL,13-11-2021,7363857,3834058,3766087,2674,2086,147.78,76.94,75.58,419,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,13-11-2021,132861,,64720,1,0,155.56,,75.78,0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,13-11-2021,16027402,6256591,5753640,1568,6869,172.5,67.34,61.93,739,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,13-11-2021,92083416,46848843,43777249,158784,178972,152.54,77.61,72.52,2965,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Jamaica,JAM,13-11-2021,1038132,624530,472622,6480,8002,34.91,21,15.89,2691,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://vaccination.moh.gov.jm/
Japan,JPN,13-11-2021,,,,,343845,,,,2728,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Jordan,JOR,13-11-2021,7643784,4036388,3607396,11770,11920,74.44,39.31,35.13,1161,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Jordan,https://corona.moh.gov.jo/ar
Kazakhstan,KAZ,13-11-2021,16321561,8521371,7800190,42718,40052,85.93,44.86,41.06,2109,"QazVac, Sinopharm/Beijing, Sputnik V",Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,13-11-2021,,,,,48400,,,,880,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.health.go.ke/wp-content/uploads/2021/11/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-15TH-NOVEMBER-2021.pdf
Kiribati,KIR,13-11-2021,,,,,363,,,,2990,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Kosovo,OWID_KOS,13-11-2021,1594449,845017,749432,2563,1883,89.47,47.42,42.05,1057,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/photos/a.597758140381777/2139656159525293/
Kyrgyzstan,KGZ,13-11-2021,1855319,1038142,813479,1145,7952,27.99,15.66,12.27,1200,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vc.emed.gov.kg/
Latvia,LVA,13-11-2021,2094562,1233163,1113619,7472,10218,112.19,66.05,59.65,5473,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,13-11-2021,3438827,1834730,1604097,970,9948,50.8,27.1,23.7,1470,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Libya,LBY,13-11-2021,,,,,9424,,,,1354,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Liechtenstein,LIE,13-11-2021,49466,25512,24786,0,48,129.31,66.69,64.79,1255,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
Lithuania,LTU,13-11-2021,3496379,1838131,1748871,1963,9021,129.98,68.34,65.02,3354,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
Luxembourg,LUX,13-11-2021,859512,441241,,2060,1915,135.4,69.51,,3017,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/en/datasets/donnees-covid19/#_
Malawi,MWI,13-11-2021,1301003,1034021,573356,,5494,6.62,5.26,2.92,280,"Johnson&Johnson, Oxford/AstraZeneca",Ministry of Health,https://twitter.com/health_malawi/status/1460650440228589569
Malaysia,MYS,13-11-2021,50970936,25575273,24800840,56774,101299,155.51,78.03,75.67,3091,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Malaysia,https://github.com/CITF-Malaysia/citf-public
Maldives,MDV,13-11-2021,,,,,248,,,,456,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1460659367083053058
Malta,MLT,13-11-2021,906453,433146,430576,3090,2588,175.64,83.93,83.43,5015,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,13-11-2021,,,,,6663,,,,1395,"Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Mexico,MEX,13-11-2021,,,,,259400,,,,1991,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/682081/2021.11.16_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Moldova,MDA,13-11-2021,1566973,,901624,,3124,38.94,,22.41,776,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/
Mongolia,MNG,13-11-2021,,,,,672,,,,202,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,13-11-2021,513753,264937,248816,1359,1135,81.8,42.18,39.62,1807,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Morocco,MAR,13-11-2021,,,,,42363,,,,1134,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Netherlands,NLD,13-11-2021,,,,,17758,,,,1034,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the Netherlands,https://coronadashboard.government.nl/landelijk/vaccinaties
New Caledonia,NCL,13-11-2021,,,,,533,,,,1849,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
New Zealand,NZL,13-11-2021,7198019,3793760,3404259,27207,21988,140.51,74.06,66.46,4292,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Niger,NER,13-11-2021,,,,,3719,,,,148,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
North Macedonia,MKD,13-11-2021,1652785,867952,784833,,3408,79.36,41.68,37.68,1636,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Government of North Macedonia,http://zdravstvo.gov.mk/vkupno-aplicirani-1-641-733-dozi-vakcini-revakcinirani-46-od-polnoletnite-gragjani-vo-drzhavata/?cn-reloaded=1
Northern Ireland,OWID_NIR,13-11-2021,2808111,1343956,1255108,6136,12237,148.11,70.88,66.2,6454,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
